Strike,Type,OI,Volume,GEX,Vanna,DEX,Charm,IV
1000,Call,10,20,0.1,0.2,0.3,0.4,0.5
1000,Put,10,20,0.1,0.2,0.3,0.4,0.5
1001,Call,10,20,0.1,0.2,0.3,0.4,0.5
1001,Put,10,20,0.1,0.2,0.3,0.4,0.5
1002,Call,10,20,0.1,0.2,0.3,0.4,0.5
1002,Put,10,20,0.1,0.2,0.3,0.4,0.5
1003,Call,10,20,0.1,0.2,0.3,0.4,0.5
1003,Put,10,20,0.1,0.2,0.3,0.4,0.5
1004,Call,10,20,0.1,0.2,0.3,0.4,0.5
1004,Put,10,20,0.1,0.2,0.3,0.4,0.5
1005,Call,10,20,0.1,0.2,0.3,0.4,0.5
1005,Put,10,20,0.1,0.2,0.3,0.4,0.5
1006,Call,10,20,0.1,0.2,0.3,0.4,0.5
1006,Put,10,20,0.1,0.2,0.3,0.4,0.5
1007,Call,10,20,0.1,0.2,0.3,0.4,0.5
1007,Put,10,20,0.1,0.2,0.3,0.4,0.5
1008,Call,10,20,0.1,0.2,0.3,0.4,0.5
1008,Put,10,20,0.1,0.2,0.3,0.4,0.5
1009,Call,10,20,0.1,0.2,0.3,0.4,0.5
1009,Put,10,20,0.1,0.2,0.3,0.4,0.5
1010,Call,10,20,0.1,0.2,0.3,0.4,0.5
1010,Put,10,20,0.1,0.2,0.3,0.4,0.5
1011,Call,10,20,0.1,0.2,0.3,0.4,0.5
1011,Put,10,20,0.1,0.2,0.3,0.4,0.5
1012,Call,10,20,0.1,0.2,0.3,0.4,0.5
1012,Put,10,20,0.1,0.2,0.3,0.4,0.5
1013,Call,10,20,0.1,0.2,0.3,0.4,0.5
1013,Put,10,20,0.1,0.2,0.3,0.4,0.5
1014,Call,10,20,0.1,0.2,0.3,0.4,0.5
1014,Put,10,20,0.1,0.2,0.3,0.4,0.5
1015,Call,10,20,0.1,0.2,0.3,0.4,0.5
1015,Put,10,20,0.1,0.2,0.3,0.4,0.5
1016,Call,10,20,0.1,0.2,0.3,0.4,0.5
1016,Put,10,20,0.1,0.2,0.3,0.4,0.5
1017,Call,10,20,0.1,0.2,0.3,0.4,0.5
1017,Put,10,20,0.1,0.2,0.3,0.4,0.5
1018,Call,10,20,0.1,0.2,0.3,0.4,0.5
1018,Put,10,20,0.1,0.2,0.3,0.4,0.5
1019,Call,10,20,0.1,0.2,0.3,0.4,0.5
1019,Put,10,20,0.1,0.2,0.3,0.4,0.5
1020,Call,10,20,0.1,0.2,0.3,0.4,0.5
1020,Put,10,20,0.1,0.2,0.3,0.4,0.5
1021,Call,10,20,0.1,0.2,0.3,0.4,0.5
1021,Put,10,20,0.1,0.2,0.3,0.4,0.5
1022,Call,10,20,0.1,0.2,0.3,0.4,0.5
1022,Put,10,20,0.1,0.2,0.3,0.4,0.5
1023,Call,10,20,0.1,0.2,0.3,0.4,0.5
1023,Put,10,20,0.1,0.2,0.3,0.4,0.5
1024,Call,10,20,0.1,0.2,0.3,0.4,0.5
1024,Put,10,20,0.1,0.2,0.3,0.4,0.5
1025,Call,10,20,0.1,0.2,0.3,0.4,0.5
1025,Put,10,20,0.1,0.2,0.3,0.4,0.5
1026,Call,10,20,0.1,0.2,0.3,0.4,0.5
1026,Put,10,20,0.1,0.2,0.3,0.4,0.5
1027,Call,10,20,0.1,0.2,0.3,0.4,0.5
1027,Put,10,20,0.1,0.2,0.3,0.4,0.5
1028,Call,10,20,0.1,0.2,0.3,0.4,0.5
1028,Put,10,20,0.1,0.2,0.3,0.4,0.5
1029,Call,10,20,0.1,0.2,0.3,0.4,0.5
1029,Put,10,20,0.1,0.2,0.3,0.4,0.5
1030,Call,10,20,0.1,0.2,0.3,0.4,0.5
1030,Put,10,20,0.1,0.2,0.3,0.4,0.5
1031,Call,10,20,0.1,0.2,0.3,0.4,0.5
1031,Put,10,20,0.1,0.2,0.3,0.4,0.5
1032,Call,10,20,0.1,0.2,0.3,0.4,0.5
1032,Put,10,20,0.1,0.2,0.3,0.4,0.5
1033,Call,10,20,0.1,0.2,0.3,0.4,0.5
1033,Put,10,20,0.1,0.2,0.3,0.4,0.5
1034,Call,10,20,0.1,0.2,0.3,0.4,0.5
1034,Put,10,20,0.1,0.2,0.3,0.4,0.5
1035,Call,10,20,0.1,0.2,0.3,0.4,0.5
1035,Put,10,20,0.1,0.2,0.3,0.4,0.5
1036,Call,10,20,0.1,0.2,0.3,0.4,0.5
1036,Put,10,20,0.1,0.2,0.3,0.4,0.5
1037,Call,10,20,0.1,0.2,0.3,0.4,0.5
1037,Put,10,20,0.1,0.2,0.3,0.4,0.5
1038,Call,10,20,0.1,0.2,0.3,0.4,0.5
1038,Put,10,20,0.1,0.2,0.3,0.4,0.5
1039,Call,10,20,0.1,0.2,0.3,0.4,0.5
1039,Put,10,20,0.1,0.2,0.3,0.4,0.5
1040,Call,10,20,0.1,0.2,0.3,0.4,0.5
1040,Put,10,20,0.1,0.2,0.3,0.4,0.5
1041,Call,10,20,0.1,0.2,0.3,0.4,0.5
1041,Put,10,20,0.1,0.2,0.3,0.4,0.5
1042,Call,10,20,0.1,0.2,0.3,0.4,0.5
1042,Put,10,20,0.1,0.2,0.3,0.4,0.5
1043,Call,10,20,0.1,0.2,0.3,0.4,0.5
1043,Put,10,20,0.1,0.2,0.3,0.4,0.5
1044,Call,10,20,0.1,0.2,0.3,0.4,0.5
1044,Put,10,20,0.1,0.2,0.3,0.4,0.5
1045,Call,10,20,0.1,0.2,0.3,0.4,0.5
1045,Put,10,20,0.1,0.2,0.3,0.4,0.5
1046,Call,10,20,0.1,0.2,0.3,0.4,0.5
1046,Put,10,20,0.1,0.2,0.3,0.4,0.5
1047,Call,10,20,0.1,0.2,0.3,0.4,0.5
1047,Put,10,20,0.1,0.2,0.3,0.4,0.5
1048,Call,10,20,0.1,0.2,0.3,0.4,0.5
1048,Put,10,20,0.1,0.2,0.3,0.4,0.5
1049,Call,10,20,0.1,0.2,0.3,0.4,0.5
1049,Put,10,20,0.1,0.2,0.3,0.4,0.5
