Strike,Type,OI,Volume
28010.0,Call,0.0,0.0
28675.0,Put,10.0,3.0
28475.0,Call,4.0,0.0
28660.0,Call,1.0,0.0
28660.0,Put,3.0,0.0
28240.0,Put,6.0,6.0
28230.0,Call,0.0,0.0
27870.0,Put,3.0,3.0
27970.0,Call,0.0,0.0
27960.0,Put,0.0,0.0
29420.0,Call,31.0,60.0
28400.0,Put,113.0,221.0
28175.0,Put,34.0,13.0
28025.0,Put,9.0,8.0
27850.0,Put,4.0,2.0
30000.0,Call,167.0,226.0
29500.0,Put,16.0,27.0
28750.0,Call,50.0,0.0
28800.0,Put,143.0,217.0
30250.0,Put,0.0,0.0
30500.0,Put,0.0,0.0
28200.0,Call,22.0,1.0
28100.0,Call,13.0,1.0
28000.0,Put,60.0,73.0
29000.0,Call,86.0,4.0
27900.0,Put,32.0,12.0
28050.0,Call,8.0,0.0
27950.0,Call,4.0,0.0
28550.0,Put,29.0,35.0
28525.0,Call,13.0,0.0
28425.0,Put,13.0,20.0
28400.0,Call,2.0,0.0
27900.0,Call,8.0,0.0
28625.0,Put,15.0,16.0
27875.0,Put,5.0,1.0
29750.0,Put,0.0,0.0
28350.0,Put,33.0,48.0
28500.0,Call,7.0,0.0
28125.0,Put,38.0,0.0
28650.0,Call,14.0,0.0
28950.0,Call,22.0,11.0
27850.0,Call,5.0,0.0
28650.0,Put,37.0,62.0
28450.0,Put,16.0,13.0
28750.0,Put,103.0,125.0
29500.0,Call,194.0,336.0
28700.0,Call,28.0,6.0
30750.0,Call,88.0,8.0
28450.0,Call,10.0,0.0
29550.0,Put,6.0,6.0
28875.0,Call,11.0,1.0
28925.0,Put,17.0,22.0
28350.0,Call,2.0,2.0
28275.0,Call,0.0,0.0
28375.0,Call,4.0,0.0
28600.0,Call,5.0,0.0
28550.0,Call,5.0,0.0
28000.0,Call,54.0,2.0
28775.0,Call,10.0,0.0
28700.0,Put,126.0,172.0
28775.0,Put,16.0,19.0
28675.0,Call,8.0,0.0
28725.0,Put,33.0,41.0
28725.0,Call,11.0,0.0
28175.0,Call,22.0,0.0
28100.0,Put,90.0,43.0
29250.0,Call,49.0,16.0
28330.0,Put,14.0,5.0
28440.0,Put,1.0,5.0
28420.0,Call,0.0,0.0
28480.0,Call,3.0,0.0
28480.0,Put,15.0,16.0
28490.0,Call,0.0,0.0
28490.0,Put,4.0,12.0
29190.0,Call,2.0,3.0
29190.0,Put,19.0,36.0
28880.0,Put,9.0,28.0
28860.0,Call,8.0,0.0
29225.0,Call,60.0,51.0
29220.0,Call,6.0,4.0
29225.0,Put,13.0,33.0
29270.0,Put,12.0,14.0
29260.0,Put,19.0,54.0
29410.0,Put,43.0,96.0
29150.0,Call,16.0,16.0
28575.0,Put,19.0,10.0
29090.0,Put,26.0,33.0
29080.0,Call,12.0,14.0
29110.0,Put,4.0,7.0
29075.0,Call,8.0,1.0
28900.0,Put,104.0,157.0
29275.0,Call,12.0,12.0
29030.0,Put,6.0,19.0
29010.0,Call,1.0,1.0
28830.0,Call,1.0,0.0
28840.0,Put,7.0,14.0
29125.0,Put,41.0,51.0
29110.0,Call,5.0,1.0
29370.0,Put,12.0,44.0
29325.0,Put,19.0,44.0
28810.0,Put,0.0,0.0
28830.0,Put,9.0,2.0
28810.0,Call,0.0,0.0
28980.0,Call,37.0,0.0
28940.0,Put,1.0,3.0
28990.0,Put,4.0,8.0
28670.0,Call,1.0,0.0
28670.0,Put,11.0,11.0
28610.0,Put,6.0,6.0
28710.0,Call,0.0,0.0
28760.0,Put,6.0,8.0
28020.0,Put,24.0,24.0
30250.0,Call,26.0,4.0
29200.0,Call,119.0,23.0
28460.0,Put,14.0,17.0
29075.0,Put,17.0,19.0
28125.0,Call,20.0,0.0
28120.0,Put,1.0,1.0
28110.0,Call,0.0,0.0
28030.0,Put,6.0,2.0
27875.0,Call,0.0,0.0
29475.0,Call,21.0,61.0
29430.0,Put,8.0,17.0
29180.0,Call,4.0,5.0
29350.0,Call,20.0,24.0
29280.0,Call,4.0,14.0
29175.0,Put,22.0,27.0
29160.0,Put,15.0,27.0
29160.0,Call,1.0,2.0
29170.0,Call,1.0,1.0
28975.0,Put,20.0,17.0
28940.0,Call,1.0,0.0
28980.0,Put,26.0,40.0
27830.0,Call,0.0,0.0
28525.0,Put,38.0,29.0
29425.0,Call,56.0,124.0
28130.0,Put,6.0,0.0
29480.0,Put,8.0,14.0
29490.0,Put,14.0,6.0
29490.0,Call,19.0,40.0
28250.0,Put,24.0,33.0
28260.0,Put,7.0,1.0
28475.0,Put,13.0,2.0
28380.0,Put,11.0,11.0
28360.0,Put,11.0,16.0
29010.0,Put,15.0,8.0
29180.0,Put,45.0,54.0
28310.0,Put,7.0,3.0
29320.0,Put,30.0,143.0
28960.0,Put,5.0,7.0
27920.0,Call,0.0,0.0
28600.0,Put,68.0,116.0
30500.0,Call,61.0,67.0
27930.0,Call,0.0,0.0
27880.0,Call,0.0,0.0
27880.0,Put,4.0,4.0
27910.0,Put,2.0,2.0
27860.0,Call,0.0,0.0
27840.0,Call,0.0,0.0
29575.0,Call,15.0,21.0
29540.0,Put,5.0,9.0
29540.0,Call,38.0,49.0
28930.0,Call,1.0,0.0
29030.0,Call,0.0,0.0
29070.0,Put,8.0,8.0
29040.0,Put,15.0,13.0
28270.0,Call,0.0,0.0
28360.0,Call,0.0,0.0
27870.0,Call,0.0,0.0
27860.0,Put,0.0,0.0
28430.0,Put,4.0,10.0
28430.0,Call,0.0,0.0
28530.0,Put,3.0,3.0
28640.0,Call,0.0,0.0
28640.0,Put,8.0,9.0
29230.0,Call,0.0,0.0
28780.0,Call,1.0,1.0
28780.0,Put,61.0,82.0
29475.0,Put,6.0,11.0
29470.0,Call,15.0,35.0
29470.0,Put,9.0,20.0
29130.0,Put,11.0,15.0
29130.0,Call,0.0,0.0
29140.0,Put,13.0,17.0
29340.0,Put,13.0,35.0
29520.0,Put,5.0,5.0
29020.0,Call,0.0,0.0
29060.0,Put,8.0,9.0
28160.0,Put,11.0,6.0
27990.0,Call,0.0,0.0
28070.0,Call,0.0,0.0
28090.0,Put,3.0,3.0
28130.0,Call,0.0,0.0
28140.0,Call,0.0,0.0
27910.0,Call,0.0,0.0
27930.0,Put,0.0,0.0
27980.0,Call,0.0,0.0
27940.0,Put,0.0,0.0
29700.0,Call,75.0,193.0
28325.0,Put,10.0,10.0
28275.0,Put,20.0,12.0
28850.0,Call,12.0,1.0
28825.0,Put,7.0,4.0
28825.0,Call,5.0,6.0
29300.0,Call,632.0,1072.0
29400.0,Call,32.0,82.0
29350.0,Put,43.0,89.0
29450.0,Call,37.0,146.0
29550.0,Call,44.0,124.0
30750.0,Put,0.0,0.0
28320.0,Call,0.0,0.0
28380.0,Call,3.0,0.0
28420.0,Put,7.0,7.0
29170.0,Put,12.0,20.0
29270.0,Call,1.0,1.0
29280.0,Put,18.0,40.0
29300.0,Put,103.0,288.0
29310.0,Put,27.0,43.0
29310.0,Call,5.0,11.0
29325.0,Call,10.0,14.0
29375.0,Put,41.0,83.0
29380.0,Put,5.0,39.0
29380.0,Call,18.0,65.0
29390.0,Put,18.0,42.0
29390.0,Call,24.0,57.0
29590.0,Call,52.0,77.0
29590.0,Put,0.0,0.0
29400.0,Put,38.0,94.0
29410.0,Call,25.0,70.0
29425.0,Put,17.0,24.0
29460.0,Call,52.0,37.0
29520.0,Call,12.0,20.0
29525.0,Put,7.0,11.0
29530.0,Put,4.0,4.0
29625.0,Put,0.0,0.0
29630.0,Put,0.0,0.0
29625.0,Call,17.0,27.0
29660.0,Call,18.0,27.0
29640.0,Call,5.0,30.0
29670.0,Put,0.0,0.0
29640.0,Put,0.0,0.0
29630.0,Call,1.0,1.0
29660.0,Put,6.0,7.0
29675.0,Call,3.0,8.0
29670.0,Call,7.0,28.0
29675.0,Put,3.0,8.0
29770.0,Call,16.0,21.0
29760.0,Call,2.0,6.0
29770.0,Put,0.0,0.0
29780.0,Put,0.0,0.0
29775.0,Call,8.0,9.0
29760.0,Put,0.0,0.0
29775.0,Put,0.0,0.0
29790.0,Call,0.0,0.0
29780.0,Call,6.0,14.0
29790.0,Put,0.0,0.0
29810.0,Put,0.0,0.0
29800.0,Call,38.0,107.0
29825.0,Put,0.0,0.0
29810.0,Call,11.0,15.0
29820.0,Put,0.0,0.0
29830.0,Call,21.0,27.0
29825.0,Call,3.0,3.0
29820.0,Call,5.0,5.0
29830.0,Put,0.0,0.0
29870.0,Call,17.0,39.0
29875.0,Put,0.0,0.0
29875.0,Call,11.0,20.0
29880.0,Put,0.0,0.0
29890.0,Put,0.0,0.0
29880.0,Call,40.0,64.0
29920.0,Put,0.0,0.0
29920.0,Call,0.0,6.0
29930.0,Call,13.0,13.0
29925.0,Put,0.0,0.0
29925.0,Call,3.0,4.0
29940.0,Put,0.0,0.0
29940.0,Call,10.0,20.0
29930.0,Put,0.0,0.0
29975.0,Call,5.0,5.0
29980.0,Put,0.0,0.0
30010.0,Put,0.0,0.0
29975.0,Put,0.0,0.0
29990.0,Call,5.0,5.0
29980.0,Call,11.0,11.0
29990.0,Put,0.0,0.0
30010.0,Call,19.0,22.0
30075.0,Call,0.0,0.0
30080.0,Put,0.0,0.0
30075.0,Put,0.0,0.0
30120.0,Call,4.0,7.0
30110.0,Call,20.0,20.0
30120.0,Put,0.0,0.0
30125.0,Put,0.0,0.0
30125.0,Call,7.0,10.0
30130.0,Put,0.0,0.0
30130.0,Call,14.0,14.0
30140.0,Put,0.0,0.0
30140.0,Call,0.0,0.0
30150.0,Put,0.0,0.0
30150.0,Call,4.0,6.0
30350.0,Put,0.0,0.0
30350.0,Call,31.0,42.0
30400.0,Put,0.0,0.0
28900.0,Call,32.0,1.0
28950.0,Put,42.0,59.0
28050.0,Put,25.0,33.0
28090.0,Call,0.0,0.0
28160.0,Call,0.0,0.0
28230.0,Put,5.0,5.0
28220.0,Put,1.0,1.0
28220.0,Call,0.0,0.0
29050.0,Put,160.0,234.0
28375.0,Put,7.0,5.0
28470.0,Call,0.0,0.0
28510.0,Put,23.0,8.0
28530.0,Call,2.0,0.0
28520.0,Call,0.0,0.0
28520.0,Put,6.0,8.0
28510.0,Call,0.0,0.0
28570.0,Put,1.0,2.0
28560.0,Put,5.0,5.0
28920.0,Put,14.0,19.0
28970.0,Put,9.0,11.0
28960.0,Call,0.0,0.0
29260.0,Call,2.0,2.0
29240.0,Call,6.0,12.0
29290.0,Call,1.0,1.0
29290.0,Put,17.0,18.0
29900.0,Call,147.0,127.0
30050.0,Call,50.0,44.0
30100.0,Call,64.0,18.0
30700.0,Put,0.0,0.0
30200.0,Call,2.0,2.0
30400.0,Call,27.0,27.0
30450.0,Put,0.0,0.0
30600.0,Call,5.0,6.0
30650.0,Call,0.0,2.0
30300.0,Call,5.0,5.0
30200.0,Put,0.0,0.0
30550.0,Call,2.0,2.0
