Strike,Type,OI,Volume,GEX,Vanna,DEX,Charm
30110.0,Call,10.0,10.0,-2455484.502924757,-190.57469587146778,-1988056.0563491771,-483571.0286638939
30090.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0
28860.0,Put,6.0,6.0,-219463.8576608874,41.667135925793616,470606.8595777699,415737.77677314694
28870.0,Put,0.0,0.0,-0.0,0.0,0.0,0.0
30080.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0
30060.0,Call,3.0,7.0,-805069.6153870774,-37.06629279999097,-718446.7542315754,-91556.4486078872
29970.0,Put,2.0,2.0,-524382.3385439706,7.2227248158547885,557707.193182897,18735.403510008717
30040.0,Call,4.0,4.0,-1082631.2291786326,-34.99264490621385,-1031487.1090656001,-87119.838766612
29810.0,Call,10.0,30.0,-1878083.46740282,183.15084332803107,-4291594.17596134,569000.0359813216
29790.0,Call,7.0,11.0,-1244107.273231834,130.8583365643155,-3066289.38907074,418486.5749947148
29910.0,Put,0.0,0.0,-0.0,0.0,0.0,0.0
28590.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0
30090.0,Call,3.0,6.0,-769046.7225374102,-50.36758545240175,-642310.9541439404,-125854.53529360383
29850.0,Call,105.0,150.0,-21879665.08094299,1751.1714914791933,-42850935.220721334,5167208.3695845315
31000.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0
30800.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0
28850.0,Call,5.0,0.0,-181155.5541440029,34.44821895566564,-2607945.929094397,346637.8506411173
28600.0,Put,53.0,62.0,-1548154.1182559123,303.5547220281209,3877887.662846014,3613298.5891811545
28600.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0
29910.0,Call,86.0,95.0,-20537530.00367029,1014.3254322760263,-31726485.764711168,2794098.9082440846
29980.0,Call,22.0,22.0,-5825247.187633166,43.31014378324041,-6869149.160961165,112923.1154285305
29210.0,Call,4.0,0.0,-216497.83245630673,38.18790864226598,-2039300.3674866739,282926.79801004357
30350.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0
29370.0,Call,1.0,1.0,-68372.92218992765,11.425979482586385,-501571.56627145654,70996.12108089418
29430.0,Put,4.0,6.0,-302674.2660459304,49.43677457643386,406768.46958157787,283559.85094639385
29460.0,Put,5.0,6.0,-399510.3868204359,64.50914903345449,517240.49910136004,354264.8451049285
29470.0,Put,20.0,21.0,-1628325.1274464224,261.9114092454149,2080809.8368839584,1416731.6314189949
29570.0,Put,21.0,45.0,-2101179.3402125174,320.6237242383333,2350399.3309189235,1477432.9144886513
29720.0,Put,6.0,8.0,-879255.0921931544,112.29319069454775,821855.6606736362,398139.45850801974
29730.0,Call,16.0,20.0,-2413414.6419191104,302.4568623878191,-7364116.983373864,1053889.3107946748
28540.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0
28890.0,Put,1.0,1.0,-37653.47326502281,7.113908269578406,79211.7845130041,69421.99842868451
28500.0,Call,3.0,1.0,-81235.387936116,16.058040893986103,-1584086.621606077,203607.6753197225
29370.0,Put,21.0,24.0,-1435831.3659885265,239.94556913444742,2062226.6162110025,1489193.1687936492
28940.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0
29060.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0
29575.0,Put,21.0,40.0,-2125189.056232239,323.2839010828115,2360035.539675097,1476592.3561709619
29350.0,Call,41.0,6.0,-2715362.8861154146,457.21791577301155,-20611649.748334832,2910540.529464988
30700.0,Call,5.0,5.0,-314824.70406781073,-56.74572635444804,-468560.0647552827,-370914.31583513203
29575.0,Call,35.0,27.0,-3541981.7603869913,538.8065018046242,-17058656.61372958,2463862.8834602037
29000.0,Call,13.0,2.0,-547937.4420931049,101.45551921812084,-6726023.546363797,909706.2669289368
29880.0,Put,0.0,0.0,-0.0,0.0,0.0,0.0
29870.0,Call,21.0,50.0,-4592620.421910549,323.18349579075436,-8316593.157370101,931282.3034874988
29870.0,Put,0.0,0.0,-0.0,0.0,0.0,0.0
28860.0,Call,3.0,0.0,-109731.92883042568,20.833567962909363,-1564015.0713418692,208115.3703730005
29690.0,Call,7.0,13.0,-945807.0622102371,127.90771446349115,-3294170.677886065,476244.8153017094
29800.0,Call,95.0,160.0,-17339216.261724263,1755.7202681168765,-41184808.0876486,5542668.854470208
30150.0,Call,64.0,40.0,-14030185.007156467,-1378.9700830024694,-11125984.635450684,-3697582.652699
