Strike,Type,OI,Volume,GEX,Vanna,DEX,Charm
7630.0,Put,3.0,9.0,-154885.71203679626,-185.88348920776988,1083350.638374057,-88614.40153034336
7630.0,Call,315.0,633.0,-16262999.54180386,-19517.76623438802,-5042033.597728612,-9288238.903384825
7405.0,Put,40.0,340.0,-1120824.03644853,1409.7548175755676,515299.19615122635,1035506.7971131153
7335.0,Put,198.0,193.0,-2176313.888416747,3260.1306547417785,1115102.6843414714,3040710.377478049
7790.0,Call,149.0,1.0,-884153.7006474494,-1499.8251870587505,-422402.0409109197,-1425266.787119757
7775.0,Call,100.0,111.0,-677864.2453147547,-1132.8154120661206,-312665.3576847352,-1027137.1895448922
7190.0,Put,92.0,163.0,-188256.39188910232,354.5127230679548,109346.62364468722,450291.7842659871
7245.0,Call,1.0,1.0,-4231.685773958547,7.24132706603969,-374663.2383455162,8565.80576817233
7475.0,Put,881.0,2253.0,-84560048.5497029,70041.7191441614,38143693.981484294,38440568.19187124
7200.0,Call,15.0,1.0,-35111.17106086126,65.03060326482753,-5636437.727544419,82324.48651859374
7615.0,Put,1.0,1.0,-79248.17599955016,-81.61904938825224,350832.8550260006,-37508.693006595335
7870.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0
7575.0,Put,6.0,164.0,-1150445.6218921808,-527.8752593529161,1682910.64053911,-241083.9426858164
7425.0,Call,193.0,7.0,-7335431.968244292,8601.45706414564,-69536058.32699308,5800823.030248885
7575.0,Call,613.0,1511.0,-117537194.79198661,-53931.25619581875,-59239234.04936425,-24599074.86991178
7395.0,Call,17.0,1.0,-416121.24583127495,537.568189988209,-6215094.769511953,413341.41534523905
7395.0,Put,89.0,428.0,-2178519.5253103096,2814.329440465499,1026129.7182273627,2159368.463223773
7315.0,Put,76.0,483.0,-684325.5526161087,1053.5946489444752,366435.74220090965,1049148.8567004243
7545.0,Put,14.0,565.0,-3256061.244132072,-76.7726434526067,2697809.671491956,-36142.97625626487
7515.0,Put,30.0,1914.0,-5703976.170110368,2206.6888821727816,3238841.531454939,1072609.0570728483
7555.0,Put,7.0,341.0,-1601939.228584945,-268.3234882900488,1565165.373554711,-123866.4647067255
7545.0,Call,189.0,1009.0,-43956827.146867186,-1036.4307015971804,-34855879.880203284,-478166.30443892843
