Strike,Type,OI,Volume,GEX,Vanna,DEX,Charm
4505.0,Call,24.0,37.0,-640114.653202044,-590.3901874334388,-2473172.69211621,-1230692.5354790178
4485.0,Put,9.0,7.0,-270709.1495942013,-246.15655995943607,2972107.7683615056,-457237.8192379917
4465.0,Call,2.0,0.0,-68585.31504382347,-60.485269831496815,-212312.62784003915,-99658.61422227642
4310.0,Put,23.0,1.0,-2620938.10155183,1681.0289821490849,2923549.083988787,912456.4285068309
4310.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0
4325.0,Put,80.0,38.0,-16115531.012838867,8951.614636596354,11102417.97134682,2857170.6355147543
4330.0,Put,3.0,1.0,-846005.469233739,439.8912257600067,431138.0512707167,101733.70597549685
4350.0,Put,279.0,28.0,-67078030.82084242,-26089.504119730766,75541153.98885271,-7421687.678584622
4300.0,Put,1216.0,89.0,-109958299.5265678,76250.48878706225,146297801.34575507,50809737.05195601
4475.0,Put,104.0,56.0,-3282593.4482761417,-2858.60860792339,33909715.5812248,-5169168.178206696
4530.0,Call,23.0,77.0,-539813.9722426615,-508.91920012788574,-2337764.978183208,-1196468.781546973
4495.0,Put,10.0,12.0,-289188.4737531649,-278.441670813287,3360745.1410365915,-520886.11400429165
4540.0,Put,8.0,1.0,-188593.82852909132,-258.92306496830264,2999622.9912245343,-431769.1620655704
4375.0,Call,14.0,0.0,-825624.7749979926,-292.2001462263985,-2402709.015259099,-343076.252659923
4470.0,Put,31.0,33.0,-1005101.7519028343,-858.7382726968068,10052627.288838698,-1524820.4929403812
4495.0,Call,23.0,26.0,-649145.3719766275,-592.726345083293,-2385766.7258585263,-1171819.3244474973
4515.0,Call,46.0,77.0,-1163236.2515111382,-1082.9273305480253,-4711984.842491976,-2373117.1923382706
4540.0,Call,32.0,32.0,-716893.5411404184,-681.0971083193955,-3237642.8028338314,-1673280.5933829488
4520.0,Put,18.0,6.0,-470142.6762943731,-641.1229387266729,6742488.246111305,-969080.8965053516
4530.0,Put,1.0,0.0,-24779.08902038661,-33.9085803242217,374778.67593259556,-53903.69811976958
4160.0,Put,0.0,0.0,-0.0,0.0,0.0,0.0
4205.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0
4505.0,Put,5.0,4.0,-141119.36322846834,-151.16786179328898,1738245.8495485848,-269205.1424410682
4160.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0
4170.0,Put,0.0,0.0,-0.0,0.0,0.0,0.0
4170.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0
4235.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0
4420.0,Call,0.0,0.0,-0.0,-0.0,-0.0,-0.0
4140.0,Put,0.0,0.0,-0.0,0.0,0.0,0.0
4520.0,Call,35.0,79.0,-862762.5990932859,-806.7296655201795,-3575341.8279746315,-1810821.0199574456
4145.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0
4205.0,Put,0.0,0.0,-0.0,0.0,0.0,0.0
4515.0,Put,12.0,11.0,-322165.6221244489,-438.51347971946586,4493668.45143597,-645671.35547524
4510.0,Call,21.0,36.0,-545167.3411553222,-505.21376581590556,-2157404.0984389926,-1080167.1150417307
4510.0,Put,7.0,15.0,-195479.62649587292,-235.42901634234377,2525651.672918849,-382243.82602117327
4195.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0
4180.0,Put,0.0,0.0,-0.0,0.0,0.0,0.0
4145.0,Put,0.0,0.0,-0.0,0.0,0.0,0.0
4550.0,Call,167.0,282.0,-3579389.338275296,-3425.6011713280204,-16824604.419479363,-8775686.662495878
4525.0,Put,42.0,12.0,-1068102.943444038,-1459.0773554737264,15736546.734082442,-2262585.8427653387
