Strike,Type,OI,Volume,GEX,Vanna,DEX,Charm,IV
28190.0,Put,10.0,2.0,-248927.71897138248,63.45958872391124,417511.00978561316,574694.0353333195,0.613251919434147
30400.0,Put,14.0,0.0,-602266.7909454426,-152.67741500824326,7614218.269415758,-873946.1854373246,0.387121702804524
28710.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.423703819052202
28740.0,Put,6.0,2.0,-288935.6704872956,64.4531361623458,355132.5745571075,392013.58059960324,0.411876687684596
29760.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.1829048803707131
29790.0,Call,15.0,13.0,-2476971.285010548,-379.2401136519765,-1741239.7904877493,-1060055.8566142626,0.1893077760501838
28100.0,Call,2.0,0.0,-45554.52463371411,11.82199817292461,-1102132.393467226,112497.27305460972,0.643463818269154
28210.0,Put,26.0,16.0,-660275.1631516265,167.6840445025324,1097719.97066207,1501333.8866334064,0.60629683921643
29120.0,Put,191.0,57.0,-18996671.038946953,3505.580123763247,16440389.422382299,13431426.0252608,0.259472479379118
28680.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.435293389750005
28660.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.442900095321599
28150.0,Put,55.0,7.0,-1315862.456670037,338.0742696530392,2244267.7297911453,3129794.8518660646,0.62690635483765
28400.0,Put,179.0,145.0,-5542676.365481345,1358.8278190029255,8356915.552766234,10772892.562456947,0.536871448308368
30200.0,Call,117.0,53.0,-6898058.027836205,-1637.2554864897475,-6424437.786557477,-7697397.965922231,0.31837092432575
29440.0,Put,10.0,18.0,-2407088.9821338877,152.0734668589095,2110484.345883406,392599.402899308,0.1749331605554802
30270.0,Call,4.0,0.0,-209775.4582577488,-50.980583798629446,-207815.4491895865,-258604.9607816455,0.343507413063629
30225.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.327469354149218
28320.0,Put,21.0,6.0,-596747.960950481,148.49936807610976,940158.6119447829,1242672.9447194706,0.566674285668927
28070.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.653118326573173
28860.0,Put,15.0,15.0,-874202.569472806,186.85950667199663,976656.2902343507,1006158.5261183687,0.364640764993841
28180.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.616698159441584
28210.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.606296839215983
28220.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.602788808139386
28690.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.431455257429679
28240.0,Put,9.0,1.0,-235565.17087332217,59.487529750665885,386273.53893233556,523315.18255651405,0.595713677542627
29620.0,Call,27.0,35.0,-7157461.753825708,-425.1422389017949,-5931441.202952209,-1010062.0902419789,0.1609975610810754
29630.0,Call,26.0,24.0,-6770824.282427925,-448.25229779406857,-5490379.991944287,-1069900.9657065056,0.1617269901894366
29970.0,Call,40.0,5.0,-3876201.2891847165,-794.9582590092638,-2980894.07454513,-2832316.650700786,0.241277236274277
28180.0,Put,12.0,7.0,-295755.56391011435,75.5427913618056,498188.1861400394,687964.9939560915,0.616698159441717
28420.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.529490324476858
28430.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.525827937991318
28670.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.439107926773238
29560.0,Put,6.0,7.0,-1668481.5623066844,-27.914566732494983,1893406.8101427346,-66756.10381981505,0.1612967729366703
29740.0,Call,12.0,16.0,-2325457.4933239776,-303.57397536498775,-1655113.1653464166,-799248.9118787232,0.1783187283420672
29570.0,Put,14.0,45.0,-3883201.6341073276,-92.68612497263399,4550127.184941335,-221035.36635987664,0.1610189133888159
29630.0,Put,1.0,1.0,-260416.31855491607,-17.24047299207897,379500.6196563696,-41230.95071528126,0.1617269901894396
29730.0,Call,31.0,61.0,-6199578.489864403,-778.6094570168787,-4433398.443675774,-2026206.0533260796,0.1762586123742355
29410.0,Put,18.0,23.0,-4052211.9742327817,327.30595642273164,3411753.468822656,867064.2597430709,0.1794682660468105
29980.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.244672784299567
29990.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.247984497184032
30010.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.254330154463104
30030.0,Call,5.0,3.0,-417432.0850695186,-90.29260192093135,-335835.05211996374,-347028.6512551354,0.260271727669214
28710.0,Put,21.0,22.0,-968035.4466570698,217.88635195969405,1217083.7343395064,1363273.6344993329,0.423703819052208
29040.0,Call,1.0,1.0,-82257.59750564068,16.230513301100533,-514159.87648125103,69461.52324583166,0.289486101719753
29110.0,Put,14.0,17.0,-1357783.6293614272,253.24902837121778,1183713.7422501626,983158.2683592861,0.262907836673961
29260.0,Call,20.0,27.0,-2928009.114584593,430.3045733487565,-9447418.37293196,1373849.3045934709,0.2159782902909434
29875.0,Put,2.0,0.0,-252874.4898576554,-46.16421391899102,999322.9677814431,-144564.13149594082,0.2118360754664874
29825.0,Put,6.0,0.0,-884364.2284126205,-145.64985184847234,2909383.9824020555,-431139.39542568673,0.2002452736066931
28220.0,Put,13.0,1.0,-333467.31382599263,84.52758449540754,551896.5861178559,752425.9112293886,0.602788808139783
29925.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.225780736110082
30270.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.343507413064023
28780.0,Put,25.0,17.0,-1278762.0703280468,281.736551158755,1522626.9509950161,1647170.2314458953,0.395919181187272
28840.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.372426793664853
29620.0,Put,2.0,2.0,-530182.3521351855,-31.492017696422757,741972.1467364813,-74981.24123743922,0.1609975610810932
28230.0,Put,7.0,5.0,-181376.08713822276,45.88893555402629,298806.6289800124,406091.5379874661,0.599260965978119
28420.0,Put,5.0,2.0,-158339.00378960292,38.65729681574485,236104.32556210246,302264.2477604707,0.529490324476788
28670.0,Put,10.0,12.0,-435573.1727006274,99.22097898273645,563258.4124977798,643378.3507920679,0.439107926773089
29090.0,Call,15.0,4.0,-1384878.9427451799,263.38541333288913,-7633500.392308914,1051221.825168732,0.269976951159512
28070.0,Put,28.0,2.0,-619333.003239339,161.7234417022921,1088402.9722175598,1559793.3821746835,0.653118326572652
28390.0,Put,14.0,4.0,-428740.43858496676,105.31776288725663,650034.7299127135,840742.8613070595,0.540584786271067
28440.0,Put,8.0,23.0,-259225.707021726,63.00849450999847,382328.7830534789,485872.74092110037,0.522187538928719
30850.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.532761612731147
30150.0,Call,57.0,40.0,-3676616.8042688193,-857.1760945485277,-3259318.0476649087,-3795187.196339501,0.299826836005038
30300.0,Put,5.0,0.0,-250020.47062854996,-61.362153372406254,2699660.534254632,-321129.60731077485,0.353944844411201
28750.0,Call,30.0,0.0,-1466258.3826385462,326.09704492828376,-15931950.746336251,1966599.581876948,0.407890047576176
28250.0,Call,2.0,0.0,-52881.089965121646,13.329260863645358,-1095035.1720244791,116718.06088353078,0.59214729209022
