Strike,Type,OI,Volume,GEX,Vanna,DEX,Charm,IV
7645.0,Call,130.0,8227.0,-4384028.797332463,394.85029689801394,-28535957.212161627,1305272.84163381,0.856257207247276
8010.0,Call,267.0,0.0,-626304.2172365031,-161.609189112908,-61689332.16895271,-7523003.877749706,12.10739716147474
7840.0,Call,303.0,50.0,-1212979.5368201802,-196.20610474720652,-64880719.841566764,-5469551.2420057,7.25407932540353
7815.0,Put,2.0,1.0,-8946.764481688608,-1.30457786903274,346255.63017097214,-32714.105592076772,6.50538325560299
7815.0,Call,172.0,2.0,-769421.7454262879,-112.1936967368822,-36417897.25520367,-2804345.1519507323,6.5053832555942
7640.0,Put,840.0,4600.0,-29943865.42810306,3233.9788208316327,135884872.36351663,10019499.634133268,0.806404489830521
7885.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,8.57258992519699
7885.0,Call,137.0,0.0,-461979.40986157366,-87.25174534585993,-29941041.553261284,-2874941.728168952,8.57258992519562
7745.0,Call,264.0,206.0,-1782298.646393005,-169.6665842598121,-54305911.02645867,-2819481.449711979,4.32867800417417
8055.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,13.34311288770123
8045.0,Call,0.0,0.0,-0.0,-0.0,-0.0,-0.0,13.07020793706522
7805.0,Put,1.0,0.0,-4695.964830321139,-0.6536879454389473,174067.49377773848,-15628.201720918116,6.20173753507099
7805.0,Call,56.0,0.0,-262974.03049724427,-36.60652494453694,-11804367.797260934,-872226.9474071689,6.20173753508801
7795.0,Call,161.0,1000.0,-795865.542489444,-105.39507072805097,-33788810.178920805,-2387112.5456880652,5.89565227538177
7655.0,Call,185.0,3818.0,-4301544.386024894,155.41993378624974,-38963477.49709188,754739.8432804353,1.252697854981115
7915.0,Call,0.0,0.0,-0.0,-0.0,-0.0,-0.0,9.43597430834045
7965.0,Call,0.0,0.0,-0.0,-0.0,-0.0,-0.0,10.85280235487827
7765.0,Put,7.0,1.0,-41182.21379016533,-4.567394681619594,1243301.7595773728,-87417.16591869404,4.96271347999153
7865.0,Call,22.0,86.0,-79762.40848858145,-14.11980985534792,-4764545.264306234,-433619.0384924137,7.99043975453931
7485.0,Put,153.0,1537.0,-838256.1974737184,-18.81293195124011,23873105.65219718,-380022.13124136924,5.20279705382494
7455.0,Call,6.0,0.0,-27479.59307559841,-1.17530279119471,-1392404.661223648,-27812.491865399857,6.19008167651138
7465.0,Put,401.0,1480.0,-1942862.6329209162,-70.22885074638701,61710721.183800474,-1593211.49313802,5.86253391306984
7465.0,Call,5.0,0.0,-24225.219861881,-0.875671455687366,-1154838.5154701648,-19601.877378008336,5.86253391306406
7680.0,Call,674.0,3915.0,-9081348.077663356,-221.74727020249375,-137729948.54417935,-1833717.4613187143,2.170489789263102
7490.0,Call,16.0,43.0,-90624.72182419444,-1.7127760016736728,-3652917.132327606,-32705.628302360918,5.03679580137756
7385.0,Put,92.0,146.0,-303948.47069236013,-26.28254520459951,13325848.921460023,-856543.1939594344,8.44876597299928
7930.0,Call,1091.0,0.0,-3179769.153697015,-682.3165375829511,-243335282.97618255,-25872018.228736874,9.86373923426834
7685.0,Put,225.0,61.0,-2804535.4338469733,-90.36543102989046,40693093.73819717,-821798.0035536833,2.34663104547596
7665.0,Call,189.0,5980.0,-3387049.112484419,18.636642623542986,-39075477.647129394,122258.30707684148,1.629690967801012
7895.0,Call,0.0,0.0,-0.0,-0.0,-0.0,-0.0,8.86162387011375
7985.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,11.41269783589558
7995.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,11.6912625028274
8080.0,Call,100.0,0.0,-197534.00050409476,-58.577732874479004,-23863817.18559246,-3192130.2936579925,14.17198104537452
7490.0,Put,200.0,1879.0,-1132809.0228008863,-21.409700021137688,31310491.020223424,-419364.45723281306,5.03679580138438
7540.0,Put,316.0,5186.0,-2710960.1323823603,57.04592782964373,50876132.79622297,728019.9126814067,3.34729756478521
7555.0,Put,299.0,4373.0,-3039863.0267816065,109.36682995306404,48374717.68933201,1183678.4519180162,2.82755241729758
7545.0,Put,244.0,3927.0,-2207896.2675334048,56.912042097696315,39359785.1711292,690099.2376498055,3.17486544065007
7880.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,8.42758171315031
7570.0,Put,5088.0,8786.0,-63620382.693483345,3434.332730023184,824064901.8155435,30285418.204617612,2.29956117369619
7375.0,Call,2.0,0.0,-6351.457601275098,-0.5872169649076842,-482326.21276843554,-19750.62508256418,8.76739682204733
7425.0,Call,16.0,0.0,-62918.47659013197,-3.89901479756603,-3766998.48208995,-107011.18003782099,7.16475703749734
8005.0,Call,12.0,0.0,-28498.30151107254,-7.278099942638862,-2766571.718772966,-334922.01216733485,11.96891579675822
7700.0,Put,349.0,202.0,-3565581.145677633,-185.3532340659784,63227276.14473385,-2051554.6515119695,2.86340987397711
7965.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,10.85280235489032
7995.0,Call,0.0,0.0,-0.0,-0.0,-0.0,-0.0,11.69126250277559
7755.0,Call,797.0,136.0,-5010357.488863425,-517.1519207015269,-164536551.83883205,-9226879.238934815,4.64658913596569
7895.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,8.86162387010255
7755.0,Put,76.0,0.0,-477775.62001569377,-49.31436132154254,13559533.75701274,-883859.7356720963,4.64658913597908
7935.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,10.00578852881345
