Strike,Type,OI,Volume,GEX,Vanna,DEX,Charm,IV
4480.0,Put,90.0,7.0,-1926699.3796339827,-3206.514685545862,35022064.31413804,-4335382.010440344,0.630306696043731
4200.0,Call,1351.0,2.0,-56672842.90483134,101279.80867286988,-538437657.7948558,56847455.49638039,0.261615181825011
4125.0,Put,302.0,6.0,-6254684.091504286,11658.133447633187,7825196.885656481,11832920.151422298,0.473740913223196
4170.0,Call,20.0,0.0,-558946.7076294351,1074.4413352940637,-8091450.384319256,759851.9171535575,0.329572461427477
4175.0,Put,271.0,82.0,-8846778.775603836,15620.793360415528,8320583.783742909,11472488.090241477,0.342796448632762
4320.0,Call,183.0,184.0,-19362989.7641091,-14115.701975629674,-21945264.114712533,-7872309.568388712,0.260377909615668
4160.0,Call,79.0,0.0,-1965834.2555855222,3853.0040317264516,-32080167.394311227,2906897.942737505,0.351570084909492
4460.0,Call,217.0,3.0,-5703777.492005399,-7704.520978306025,-13248913.922720226,-11579440.032925265,0.701533832966585
4195.0,Call,18.0,0.0,-676587.9670255352,1260.1981732346812,-7235097.547374599,718975.5118747267,0.26589783691698
4445.0,Put,119.0,1.0,-3180120.9097134974,-5065.708209486771,45838909.73295143,-5884372.978261663,0.54154552674109
4355.0,Put,151.0,8.0,-9794447.691645697,-12200.269732928013,54496620.24442349,-7959326.644024279,0.30418514900112
4335.0,Call,385.0,142.0,-31674256.513020758,-27670.59868654266,-39969076.00827822,-18429206.73796852,0.310925065049625
4430.0,Call,182.0,3.0,-5773085.345974234,-7418.370099951655,-11998454.357620219,-9725633.804866152,0.611957760150303
4385.0,Put,1086.0,1.0,-48642915.97742333,-68355.23930714317,405227750.2403953,-56429469.33256998,0.38489774353398
4225.0,Call,100.0,0.0,-6917230.99827688,10299.668695515451,-38168033.38790673,4891375.017441172,0.2214021689080866
4495.0,Call,244.0,0.0,-5329731.468971309,-7529.681670575085,-13853477.918077376,-12958894.923236001,0.803329262790146
4330.0,Put,125.0,12.0,-12218521.746369882,-12538.480452654512,42638902.286148354,-6378249.567169508,0.237190532224637
4275.0,Put,447.0,237.0,-90291293.58293855,32724.506848843248,72830689.90660632,10812069.757447341,0.1543387320314392
4255.0,Put,519.0,334.0,-74034688.69776101,78483.17013868301,42362061.92579283,26223892.839169696,0.1559751306800877
4180.0,Put,200.0,34.0,-6847761.075016098,12093.19719397804,6147362.155679145,8475333.049854545,0.32711271691331
4365.0,Call,213.0,25.0,-11859630.96764014,-12601.831656250935,-18076958.867649652,-11046965.12336469,0.409209106892587
4310.0,Put,121.0,28.0,-17009655.313411016,-11418.514857597025,36556160.33842716,-4920217.058758383,0.2008958847276843
4400.0,Call,2941.0,321.0,-116957317.01540607,-140470.85926108563,-213608477.6730836,-156465420.99379203,0.51993851135646
4095.0,Put,141.0,0.0,-2094479.8771200106,4295.814613830354,2658159.602180723,4721295.179507796,0.512965027035287
4110.0,Call,16.0,0.0,-239392.834298537,511.4556565684809,-6594349.600333066,497754.4528414316,0.453374328024429
4115.0,Put,166.0,4.0,-3119305.8364655892,5955.425019055671,3986380.599458796,6276061.78465572,0.491870612518475
4155.0,Put,119.0,0.0,-3231578.1148608928,5764.730652309786,3530267.543683761,4956886.1683972115,0.401338602160609
4470.0,Put,31.0,3.0,-704065.1501469993,-1158.6698726369618,12032476.851614736,-1503987.803147585,0.605127677064966
4230.0,Put,203.0,19.0,-14584000.25090868,23534.842962235194,7966705.879651559,9452070.205324588,0.1874581879508775
4110.0,Put,152.0,15.0,-2710024.5261050845,5250.831215990298,3479941.0873317015,5615978.291364854,0.499198032629226
4210.0,Call,35.0,0.0,-1854003.6645788965,2954.3263521851804,-13591267.844355214,1638911.1117069486,0.258607984087227
4305.0,Call,152.0,182.0,-21462150.977971073,-10864.322733883386,-22363364.630348627,-4960644.799378686,0.2132270170580965
4290.0,Put,121.0,116.0,-23503728.677767284,-3649.9163279170566,28366390.382450305,-1309566.7026183233,0.1669524441255301
4440.0,Put,194.0,7.0,-5371505.015584284,-8492.808078526672,74595581.14613047,-9631505.685890457,0.528713628390932
4355.0,Call,180.0,80.0,-11264182.664973352,-11371.860464475161,-16187641.558147015,-9181083.371822834,0.376882464130178
4270.0,Put,658.0,191.0,-127708060.05133444,70187.05864797243,91211886.64657319,22774436.376016736,0.1515191194713995
4465.0,Put,129.0,0.0,-3021316.37757173,-4942.584740198697,50002126.20467534,-6281552.059943147,0.592485399649092
4185.0,Call,30.0,0.0,-999023.4326248574,1878.826931834577,-12083619.876679234,1179993.917774008,0.292699498278257
4260.0,Call,78.0,0.0,-12537407.855320156,11177.411589515918,-25726119.14170949,3709527.2165006623,0.1547402071998167
